complaint_text,department
Potholes have developed on the main road causing difficulty for vehicles,Road & Infrastructure
The road surface is damaged and needs urgent repair,Road & Infrastructure
Road near my house is broken and vehicles keep skidding,Road & Infrastructure
Huge potholes are making it hard to ride my bicycle,Road & Infrastructure
Broken road is causing pain while walking to school,Road & Infrastructure
The road floods every time it rains,Road & Infrastructure
Water stays on the road for days after rain,Road & Infrastructure
Footpath is broken and unsafe for elderly people,Road & Infrastructure
Footpath tiles are missing near the bus stop,Road & Infrastructure
Open manhole on the road is very dangerous,Road & Infrastructure
Manhole cover is missing near the market area,Road & Infrastructure
Road construction has been going on forever,Road & Infrastructure
Construction work is blocking half the road,Road & Infrastructure
The bridge has visible cracks and feels unsafe,Road & Infrastructure
Bridge railing is damaged and children could fall,Road & Infrastructure
Speed breakers are damaged and bikes are slipping,Road & Infrastructure
No proper speed breaker near school zone,Road & Infrastructure
Traffic signal is not working at the junction,Road & Infrastructure
Signal lights are confusing and causing accidents,Road & Infrastructure
Road widening work has blocked access to shops,Road & Infrastructure
Road is uneven and my scooter keeps shaking,Road & Infrastructure
Driving on this road feels risky at night,Road & Infrastructure
The road surface is peeling off,Road & Infrastructure
Newly laid road is already breaking,Road & Infrastructure
No drainage on the road causing water stagnation,Road & Infrastructure
Drain water flows onto the road,Road & Infrastructure
Road repair work stopped halfway,Road & Infrastructure
Workers left the road unfinished,Road & Infrastructure
Road markings are faded and not visible,Road & Infrastructure
Zebra crossing is not visible near school,Road & Infrastructure
Construction debris is lying on the road,Road & Infrastructure
Stones and sand are blocking traffic,Road & Infrastructure
The road has deep cracks everywhere,Road & Infrastructure
Internal road is damaged by heavy vehicles,Road & Infrastructure
Road near hospital is full of potholes,Road & Infrastructure
Ambulances struggle to pass on this road,Road & Infrastructure
Roadside barriers are broken,Road & Infrastructure
Safety barricades are missing,Road & Infrastructure
Incomplete road work is creating dust,Road & Infrastructure
Dust from road work is causing breathing issues,Road & Infrastructure
Culvert on the road is damaged,Road & Infrastructure
Road shoulder has collapsed,Road & Infrastructure
Two wheelers keep falling due to bad road,Road & Infrastructure
Service road is filled with mud,Road & Infrastructure
Mud and slush make walking impossible,Road & Infrastructure
Repair materials are dumped carelessly,Road & Infrastructure
Bricks and gravel are scattered on the road,Road & Infrastructure
Poor road quality affects daily travel,Road & Infrastructure
My back hurts due to rough road,Road & Infrastructure
Kids are afraid to cross this road,Road & Infrastructure
Senior citizens struggle to walk here,Road & Infrastructure
This road becomes slippery at night,Road & Infrastructure
Street has no proper road edges,Road & Infrastructure
Road sides are broken and unsafe,Road & Infrastructure
Road work signboards are missing,Road & Infrastructure
No warning signs near damaged road,Road & Infrastructure
Vehicles splash muddy water on pedestrians,Road & Infrastructure
Road is too narrow and causes jams,Road & Infrastructure
Traffic gets stuck daily due to road damage,Road & Infrastructure
School bus shakes badly on this road,Road & Infrastructure
Parents are worried about kids safety,Road & Infrastructure
Road smells bad due to stagnant water,Road & Infrastructure
Rainwater mixes with sewage on road,Road & Infrastructure
Footpath is occupied due to road damage,Road & Infrastructure
People are forced to walk on main road,Road & Infrastructure
Road has sharp stones that puncture tyres,Road & Infrastructure
Tyres get damaged due to road condition,Road & Infrastructure
Road repair requests ignored for months,Road & Infrastructure
Complaints raised earlier but no action,Road & Infrastructure
This road is dangerous for cyclists,Road & Infrastructure
Children fall while playing near road,Road & Infrastructure
Road condition worsens every day,Road & Infrastructure
Temporary repairs don’t last long,Road & Infrastructure
Road is unsafe during night time,Road & Infrastructure
No reflectors or markings on road,Road & Infrastructure
Road becomes accident-prone after rain,Road & Infrastructure
Several people slipped on this road,Road & Infrastructure
Road infrastructure here needs urgent attention,Road & Infrastructure
No water supply in our area since morning,Water Supply
Low water pressure makes it hard to fill containers,Water Supply
Dirty water is coming from the tap,Water Supply
Water leakage on the roadside is wasting a lot of water,Water Supply
Pipeline burst near my house causing water loss,Water Supply
Water supply timings are very irregular,Water Supply
Bad smell is coming from drinking water,Water Supply
Water shortage is affecting daily household work,Water Supply
Overflowing overhead tank is creating waterlogging,Water Supply
Contaminated water is causing stomach problems,Water Supply
Tap water looks muddy and unsafe to drink,Water Supply
No water in the overhead tank since yesterday,Water Supply
Water leakage near the school road needs fixing,Water Supply
Pipeline damage is reducing water flow,Water Supply
Kids are unable to attend school due to water issues,Water Supply
Elderly people are struggling due to lack of water,Water Supply
Water meter is not working properly,Water Supply
