text,label
"Street light not working outside my house",Electricity
"Water supply has been collected dirty",Water
"Huge pothole on the main street causing traffic",Road
"Garbage has not been collected for 3 days",Garbage
"Suspicious activity observed in the park",Public Safety
"Electric pole is leaning dangerously",Electricity
"No water since morning",Water
"Road surface is damaged and uneven",Road
"Trash bin overflowing near the market",Garbage
"Theft reporting in my neighborhood",Public Safety
"Voltage fluctuation damaging appliances",Electricity
"Pipe burst leaking water on the street",Water
"Traffic light signal not working",Road
"Waste dumping on vacant plot",Garbage
"Loud noise and fighting at night",Public Safety
"Power cut for more than 4 hours",Electricity
"Low water pressure in taps",Water
"Manhole cover missing on the sidewalk",Road
"Dead animal needs removal",Garbage
"Chain snatching incident",Public Safety
"Wire sparking on the transformer",Electricity
"Contaminated water coming from tap",Water
"Road blocked by fallen tree",Road
"Dustbin damaged and garbage spread",Garbage
"Vandalism of public property",Public Safety
